"","TLD","Alexa #","Domain #","Start Date","ASCII","Whois Server","Registry"
"258","capital","5","5237","2014-04-03","capital","whois.donuts.co","registry"
"259","watch","15","5230","2014-01-16","watch","whois.donuts.co","registry"
"260","tours","1","5157","2015-03-12","tours","whois.donuts.co","registry"
"261","style","9","5101","2015-01-29","style","whois.donuts.co","registry"
"262","taxi","5","5076","2015-04-30","taxi","whois.donuts.co","registry"
"263","enterprises","1","5068","2013-11-13","enterprises","whois.donuts.co","registry"
"264","parts","6","5061","2014-02-06","parts","whois.donuts.co","registry"
"265","college","3","5055","2014-03-13","college","whois.nic.college","registry"
"266","holdings","1","5032","2013-10-31","holdings","whois.donuts.co","registry"
"267","reisen","1","5009","2014-04-03","reisen","whois.donuts.co","registry"
"268","holiday","2","5000","2013-12-19","holiday","whois.donuts.co","registry"
"269","productions","1","4976","2014-02-06","productions","whois.donuts.co","registry"
"270","dance","4","4971","2014-01-09","dance","whois.unitedtld.com","registry"
"271","report","29","4898","2014-01-30","report","whois.donuts.co","registry"
"272","university","3","4880","2014-04-03","university","whois.donuts.co","registry"
"273","camera","8","4878","2013-10-31","camera","whois.donuts.co","registry"
"274","bar","4","4863","2014-02-13","bar","whois.nic.bar","registry"
"275","vision","2","4863","2014-02-06","vision","whois.donuts.co","registry"
"276","partners","3","4832","2014-01-30","partners","whois.donuts.co","registry"
"277","exchange","10","4819","2014-04-17","exchange","whois.donuts.co","registry"
"278","codes","15","4815","2013-12-19","codes","whois.donuts.co","registry"
"279","football","4","4734","2015-02-13","football","whois.donuts.co","registry"
"280","tax","1","4701","2014-04-17","tax","whois.donuts.co","registry"
"281","finance","4","4700","2014-04-24","finance","whois.donuts.co","registry"
"282","computer","1","4687","2013-12-12","computer","whois.donuts.co","registry"
"283","tirol","1","4644","2014-05-29","tirol","whois.nic.tirol","registry"
"284","discount","3","4590","2014-04-17","discount","whois.donuts.co","registry"
"285","singles","8","4551","2013-10-31","singles","whois.donuts.co","registry"
"286","limited","2","4529","2014-04-17","limited","whois.donuts.co","registry"
"287","energy","10","4528","2014-10-16","energy","whois.donuts.co","registry"
"288","onl","10","4480","2013-12-12","onl","whois.afilias-srs.net","registry"
"289","capetown","1","4469","2014-06-05","capetown","capetown-whois.registry.net.za","registry"
"290","haus","1","4461","2014-03-26","haus","whois.unitedtld.com","registry"
"291","网店","NA","4383","2014-11-20","xn--hxt814e","whois.nic.xn--hxt814e","registry"
